cep;rg;cpf;estado_civil;login;salario_base;sensitive_key;estado;regiao
20125535;455550390;57507179051;C;gabriel.mesquita;21910;455OPV9051;Mato Grosso;Centro - Oeste
25995770;732355385;50388536767;C;joão.haddad;5404;732LOI6767;Rio Grande do Norte;Nordeste
37278465;943205737;59035293914;C;amanda.ribeiro;16066;943ADI3914;Sergipe;Nordeste
49897703;968298499;51397043200;C;guilherme.nunez;21305;968ADII3200;Mato Grosso;Centro - Oeste
30149335;332164465;01296878897;C;adelino.gomes;5098;332ADII8897;Mato Grosso;Centro - Oeste
22796750;308540039;82450866508;C;audir.goulart;23688;308OPII6508;Rio de Janeiro;Sudeste
44060184;970144682;10987705941;C;zilma.guimarães;17875;970FIV5941;Pernambuco;Nordeste
43115256;605178030;76842679305;C;gil.bonder;3540;605OPII9305;Goiás;Centro - Oeste
34949262;861631953;74310689799;S;gustavo.teixeira;23512;861FIII9799;Pará;Norte
34786165;156468673;92175010221;S;andre.campos;24857;156ADIII0221;Pernambuco;Nordeste
47757686;182915795;88574140300;S;andré.soledade;9955;182ADII0300;Rio Grande do Norte;Nordeste
49949843;413092549;74387929625;S;natalia.loureiro;3179;413ADII9625;Mato Grosso;Centro - Oeste
29865779;658540057;55830536968;C;luca.costa;22980;658LOIV6968;Pará;Norte
35975718;843569528;54730799637;C;jessica.lima;2182;843FII9637;Sergipe;Nordeste
32029708;791412983;99880514390;C;caio.scalabrin;22680;791ADIII4390;Pernambuco;Nordeste
25892815;472900409;58073890246;S;vinicius.freitas;2411;472FIII0246;Acre;Norte
35752243;711435762;61294979931;S;pedro.carrera;15718;711LOIII9931;Acre;Norte
49335895;684665210;90419094811;S;isabella.bernardo;8460;684COIII4811;Amapá;Norte
35144102;456872620;80042375281;S;felipe.melo;4860;456OPII5281;Santa Catarina;Sul
37298996;306216162;09952323392;S;pedro.fontes;12499;306OPII3392;Rio Grande do Sul;Sul
29675378;107803754;76884371772;C;maria.lobo;19045;107FIV1772;Pará;Norte
45877495;676648702;53442435980;S;bruno.vargas;10726;676COIV5980;Amapá;Norte
20448128;698776875;44454372496;S;bárbara.vieira;9402;698ADI2496;Amapá;Norte
47499393;190380293;80646889575;S;andre.ramos;13024;190OPV9575;Bahia;Nordeste
25310016;669446675;32150458469;S;livia.mello;23612;669ADV8469;Bahia;Nordeste
31389047;762921558;10613644993;C;jéssica.heimlich;16364;762COIII4993;Rio Grande do Sul;Sul
31780433;633317875;39560733219;C;carolina.monteiro;1865;633FIIII3219;Sergipe;Nordeste
38114990;511591702;94183063959;S;luís.werneck;7601;511COIV3959;Sergipe;Nordeste
28589632;443973441;08330691531;C;cícero.tagliari;11283;443OPII1531;Rio Grande do Sul;Sul
20809521;678558573;41787164393;S;gabriela.coutinho;12104;678LOIII4393;Minas Gerais;Sudeste
47649712;639216635;37634974772;S;thayná.medronho;9562;639LOII4772;Pernambuco;Nordeste
49055261;444964987;84826119176;C;marina.pacheco;24271;444ADIII9176;Alagoas;Nordeste
46700628;638732801;82400382776;C;luana.lopes;20218;638ADIII2776;Minas Gerais;Sudeste
32410076;338306501;46184061397;C;vitor.maglhães;13652;338OPIV1397;Santa Catarina;Sul
36029684;886501538;87024456799;C;carolina.mattos;10078;886ADII6799;Amazonas;Norte
47497691;534850026;32131215034;S;victor.mota;19456;534COII5034;Sergipe;Nordeste
44716292;616461796;55367561228;C;marcos.faria;3398;616FIII1228;Roraima;Norte
24394828;140108816;37388100360;S;marcelo.coelho;17475;140OPI0360;Rio de Janeiro;Sudeste
38928294;498013065;38444377165;S;tomas.guadagnino;14468;498COI7165;Amazonas;Norte
