id_rh;ramal;nome_completo;data_de_nascimento;data_de_contratacao;data_de_demissao;dias_uteis_trabalhados_ano_orcamentario;impostos;beneficios;vt;vr;cargo;bandeira;codigos;quantidade_de_acessos;ferias_acumuladas;ferias_remuneradas;horas_extras;valores_adicionais;id_de_pessoal;id_da_area;sensitive_key
1;6482;Gabriel Mesquita;1970-01-01;2006-03-16;;214;10955;4382;242;719,04;OPV;;UAK1729-MCG;140;47;;97;;;010;455OPV9051
2;6177;João Haddad;1974-04-26;2008-06-06;;171;2702;1080,8;154;574,56;LOI;;QDI6697-POC;143;31;;166;;;545;732LOI6767
3;7736;Amanda Marques Ribeiro;1990-01-07;2008-01-03;;217;8033;3213,2;154;729,12;ADI;;AJB6796-ZAR;110;60;;188;;;213;943ADI3914
4;5238;Guilherme Nunez;1993-05-07;2011-05-03;;156;10652,5;4261;220;524,16;ADII;;UXE5742-IZD;101;41;;176;;;213;968ADII3200
5;5182;Adelino Gomes;1974-03-30;2000-03-16;;216;2549;1019,6;176;725,76;ADII;;OKI6642-TSV;35;9;;121;;;213;332ADII8897
6;7725;Audir de Avila Goulart;1999-05-19;2017-06-12;;177;11844;4737,6;242;594,72;OPII;;EOZ6407-AHG;75;27;;55;150;;010;308OPII6508
7;3428;Zilma Guimarães;1999-09-28;2017-09-23;;242;8937,5;3575;286;813,12;FIV;;NFQ7851-CCO;62;6;;98;;;322;970FIV5941
8;4276;Gil Bonder;1989-06-22;2007-06-18;;229;1770;708;198;769,44;OPII;;PRS1638-RLS;121;12;;37;;;010;605OPII9305
9;6625;Gustavo de Melo Teixeira;1990-07-05;2008-06-30;;222;11756;4702,4;242;745,92;FIII;;NLT6797-NHJ;90;49;;116;;;322;861FIII9799
10;4219;Andre Campos;1989-07-01;2013-02-25;;214;12428,5;4971,4;264;719,04;ADIII;;SXZ6534-MCZ;55;21;;164;;;213;156ADIII0221
11;3626;André Melo Soledade;1972-08-17;1997-06-13;;214;4977,5;1991;198;719,04;ADII;;LFE7557-VUB;142;6;;191;;;213;182ADII0300
12;1651;Natalia Morgan Loureiro;1971-01-30;1990-01-11;1999-12-21;168;1589,5;635,8;154;564,48;ADII;;GGD4018-YSH;95;11;;50;1500;;213;413ADII9625
13;2749;Luca Costa;1977-09-24;2008-11-30;;196;11490;4596;176;658,56;LOIV;;JDK1450-NTV;140;45;;117;;;545;658LOIV6968
14;5853;Jessica Oliveira Lima;1986-02-05;2004-02-01;;180;1091;436,4;220;604,8;FII;;FLF3450-RHQ;142;28;;111;;;322;843FII9637
